iter	Passed	Remaining
0	0	980
1	1	832
2	2	793
3	3	750
4	3	725
5	4	701
6	4	690
7	5	684
8	6	676
9	6	667
10	7	662
11	8	673
12	8	674
13	9	678
14	10	675
15	10	670
16	11	664
17	12	660
18	12	657
19	13	652
20	14	660
21	14	657
22	15	655
23	16	658
24	16	660
25	17	658
26	18	654
27	18	650
28	19	648
29	19	646
30	20	644
31	21	643
32	21	640
33	22	638
34	23	639
35	23	638
36	24	637
37	25	636
38	25	634
39	26	632
40	26	630
41	27	628
42	28	626
43	28	624
44	29	622
45	29	621
46	30	620
47	31	619
48	31	618
49	32	617
50	33	616
51	33	615
52	34	613
53	34	611
54	35	610
55	36	609
56	36	607
57	37	606
58	37	605
59	38	605
60	39	604
61	39	603
62	40	602
63	41	601
64	41	600
65	42	599
66	42	597
67	43	596
68	44	595
69	44	592
70	45	591
71	45	590
72	46	592
73	48	603
74	48	602
75	49	603
76	50	602
77	50	601
78	51	599
79	52	598
80	52	597
81	53	597
82	54	597
83	54	596
84	55	595
85	55	593
86	56	591
87	56	589
88	57	586
89	57	585
90	58	583
91	58	581
92	59	580
93	60	580
94	61	584
95	62	585
96	62	583
97	63	580
98	63	578
99	64	577
100	64	576
101	65	575
102	65	573
103	66	572
104	66	568
105	67	567
106	67	566
107	68	567
108	69	566
109	69	565
110	70	564
111	71	563
112	71	562
113	72	562
114	72	561
115	74	566
116	74	564
117	75	565
118	76	564
119	76	563
120	77	562
121	77	560
122	78	559
123	79	558
124	79	558
125	80	557
126	80	556
127	81	554
128	81	553
129	82	552
130	83	551
131	83	550
132	84	549
133	84	548
134	85	546
135	85	545
136	86	543
137	86	542
138	87	541
139	88	541
140	88	540
141	89	540
142	89	539
143	90	538
144	91	539
145	91	537
146	92	536
147	92	534
148	93	533
149	93	532
150	94	531
151	94	529
152	95	528
153	95	527
154	96	525
155	96	524
156	97	524
157	98	524
158	98	523
159	99	522
160	100	521
161	100	520
162	101	519
163	101	518
164	102	517
165	103	519
166	103	518
167	104	517
168	105	516
169	105	516
170	106	515
171	106	514
172	107	512
173	107	510
174	108	509
175	108	508
176	109	507
177	109	506
178	110	505
179	110	504
180	111	503
181	111	502
182	112	501
183	112	500
184	114	504
185	115	505
186	116	504
187	116	503
188	117	502
189	117	501
190	118	500
191	118	499
192	119	498
193	119	497
194	120	496
195	120	495
196	121	494
197	121	493
198	122	492
199	122	491
200	123	490
201	123	489
202	124	488
203	124	487
204	125	486
205	125	485
206	126	484
207	126	483
208	127	482
209	128	482
210	128	481
211	129	480
212	129	479
213	130	478
214	130	477
215	131	476
216	131	475
217	132	474
218	132	473
219	133	472
220	133	471
221	134	470
222	134	469
223	135	469
224	136	468
225	136	468
226	137	467
227	137	465
228	138	465
229	138	464
230	139	463
231	139	462
232	140	461
233	140	460
234	142	462
235	142	461
236	143	461
237	143	460
238	144	459
239	144	458
240	145	457
241	145	456
242	146	456
243	146	455
244	147	454
245	147	453
246	148	452
247	148	451
248	149	450
249	150	450
250	150	449
251	151	448
252	151	447
253	152	446
254	152	446
255	152	444
256	153	443
257	154	443
258	154	442
259	155	441
260	155	441
261	156	440
262	156	439
263	157	438
264	158	438
265	158	437
266	159	436
267	159	436
268	160	435
269	160	434
270	161	434
271	162	433
272	162	432
273	163	432
274	163	431
275	164	430
276	164	430
277	165	429
278	166	429
279	166	428
280	167	427
281	167	427
282	168	426
283	169	427
284	170	426
285	170	425
286	171	425
287	171	424
288	172	424
289	172	423
290	173	422
291	174	422
292	174	421
293	175	420
294	175	420
295	176	419
296	176	418
297	177	417
298	177	416
299	178	416
300	178	415
301	179	414
302	180	414
303	180	413
304	181	413
305	181	412
306	183	413
307	183	412
308	184	412
309	184	411
310	185	410
311	185	409
312	186	409
313	187	409
314	187	408
315	188	407
316	188	407
317	189	406
318	190	405
319	190	404
320	191	404
321	191	403
322	192	402
323	192	401
324	193	401
325	193	400
326	194	399
327	194	399
328	195	398
329	196	398
330	197	398
331	197	398
332	198	397
333	198	396
334	199	395
335	199	395
336	200	394
337	200	393
338	201	393
339	202	392
340	202	391
341	203	391
342	203	390
343	204	389
344	204	389
345	205	388
346	205	387
347	206	386
348	206	385
349	207	385
350	207	384
351	208	383
352	209	383
353	209	382
354	210	381
355	210	381
356	211	380
357	211	379
358	212	379
359	213	378
360	213	378
361	214	377
362	214	376
363	215	375
364	215	375
365	216	374
366	217	374
367	217	373
368	218	373
369	218	372
370	219	371
371	219	371
372	220	370
373	220	369
374	221	369
375	221	368
376	222	367
377	222	366
378	223	366
379	224	366
380	225	366
381	226	365
382	226	365
383	227	364
384	227	363
385	228	362
386	228	362
387	229	361
388	229	360
389	230	359
390	230	359
391	231	358
392	231	358
393	232	357
394	232	356
395	233	356
396	233	355
397	234	354
398	234	353
399	235	353
400	236	352
401	236	351
402	237	351
403	237	350
404	238	350
405	239	350
406	239	349
407	240	348
408	240	347
409	241	347
410	241	346
411	242	345
412	242	345
413	243	344
414	243	343
415	244	343
416	244	342
417	245	341
418	246	341
419	246	340
420	247	340
421	247	339
422	248	338
423	248	337
424	249	337
425	249	336
426	250	335
427	250	335
428	252	335
429	253	335
430	253	334
431	254	334
432	254	333
433	255	332
434	255	332
435	256	331
436	256	330
437	257	330
438	257	329
439	258	329
440	259	328
441	259	327
442	260	327
443	260	326
444	261	326
445	262	325
446	262	324
447	263	324
448	263	323
449	264	323
450	265	322
451	265	321
452	266	321
453	266	320
454	267	319
455	267	319
456	268	318
457	268	317
458	269	317
459	269	316
460	270	316
461	270	315
462	271	314
463	271	314
464	272	313
465	272	312
466	273	312
467	273	311
468	274	310
469	274	310
470	275	309
471	276	309
472	276	308
473	278	308
474	278	307
475	279	307
476	279	306
477	280	306
478	280	305
479	281	304
480	281	304
481	282	304
482	283	303
483	284	302
484	284	302
485	285	301
486	285	301
487	286	300
488	287	300
489	287	299
490	288	299
491	289	298
492	289	298
493	291	299
494	292	298
495	293	297
496	293	297
497	294	296
498	294	296
499	295	295
500	295	294
501	296	294
502	297	293
503	297	292
504	298	292
505	298	291
506	299	291
507	299	290
508	300	289
509	301	289
510	301	288
511	302	288
512	303	288
513	304	287
514	304	287
515	305	286
516	306	286
517	307	285
518	307	285
519	308	284
520	309	284
521	309	283
522	310	282
523	310	282
524	311	281
525	312	281
526	313	281
527	314	280
528	314	280
529	315	279
530	316	279
531	317	278
532	317	278
533	318	278
534	319	277
535	320	277
536	321	277
537	322	277
538	323	276
539	324	276
540	325	275
541	325	275
542	326	274
543	327	274
544	328	274
545	329	273
546	329	273
547	330	272
548	331	272
549	332	271
550	333	271
551	333	270
552	335	270
553	335	270
554	336	269
555	337	269
556	337	268
557	339	268
558	339	268
559	340	267
560	341	267
561	341	266
562	343	266
563	344	265
564	344	265
565	345	264
566	346	264
567	346	263
